Role,Assessment Name,Learning Score Weightage,Passing Rate
Merchant Care,Hardware Assessment,20%,80%
Merchant Care,Care Mock Test,45%,80%
Marketing,All in One Quiz,50%,80%
Marketing,Hardware Assessment,50%,80%
Merchant Onboarding Manager,All in One Quiz,20%,80%
Merchant Onboarding Manager,Advance System & Networking Quiz,10%,80%
Merchant Onboarding Manager,Hardware Assessment,5%,80%
Merchant Onboarding Manager,Training Assessment (F&B),10%,80%
Merchant Onboarding Manager,Training Assessment (Retail),10%,80%
Merchant Onboarding Manager,Welcome Call,11.25%,80%
Merchant Onboarding Manager,Go Live Call,11.25%,80%
Merchant Onboarding Manager,Training Mock Test (F&B),11.25%,80%
Merchant Onboarding Manager,Training Mock Test (Retail),11.25%,80%
Customer Success Manager,All in One Quiz,20%,80%
Customer Success Manager,Advance System & Networking Quiz,10%,80%
Customer Success Manager,Hardware Setup & Troubleshoot ,5%,80%
Customer Success Manager,CSM Assessment,20%,80%
Customer Success Manager,Roleplay 1,22.5%,80%
Customer Success Manager,Roleplay 2,22.5%,80%
Onboarding Specialist,All in One Quiz,20%,80%
Onboarding Specialist,Advance System & Networking Quiz,10%,80%
Onboarding Specialist,Hardware Assessment,5%,80%
Onboarding Specialist,Training Assessment (F&B),10%,80%
Onboarding Specialist,Training Assessment (Retail),10%,80%
Onboarding Specialist,Training Mock Test (F&B),22.5%,80%
Onboarding Specialist,Training Mock Test (Retail),22.5%,80%
Business Consultant,All in One Quiz,20%,80%
Business Consultant,Pitching F&B,5%,80%
Business Consultant,Pitching Retail,5%,80%
Business Consultant,SPIN Trial,5%,80%
Business Consultant,SPIN 2,5%,80%
Business Consultant,Closing 1,5%,80%
Business Consultant,Closing 2,5%,80%
Business Consultant,Full Pitching F&B,10%,80%
Business Consultant,Full Pitching Retail,10%,80%
Business Consultant,Mock Test (F&B),17.5%,80%
Business Consultant,Mock Test (Retail),17.5%,80%
